image_id,label,split,num_annot,set_id,video_id,frame_id
set00_V001_0377,"0 0.8633122937806004 0.3704697515314933 0.04598736961612172 0.19777430875848523
0 0.8550307591422217 0.37696316047855827 0.0023718248352935234 0.17277673205217953
",train,2,set00,V001,0377
set00_V001_0378,"0 0.8745306291243882 0.36990682430994126 0.04719364223373329 0.2001868539937084
0 0.8607015909231657 0.37598004806570806 0.0020730198019801986 0.17420192033530288
",train,2,set00,V001,0378
set00_V001_0379,"0 0.8857489644681759 0.36934389708838916 0.04839991485134487 0.20259939922893155
0 0.8674089326050997 0.37499693565285785 0.013043379858946658 0.17562710861842626
",train,2,set00,V001,0379
set00_V002_0108,"0 0.856686997008157 0.4065395935277012 0.032086130526814395 0.179311092966138
",train,1,set00,V002,0108
set00_V002_0109,"0 0.8589011742946948 0.40845859329456813 0.033576494183888174 0.18295347235143056
",train,1,set00,V002,0109
set00_V002_0110,"0 0.8610041613928866 0.4095347404629221 0.034783751968314645 0.18491014653969712
",train,1,set00,V002,0110
set00_V002_0111,"0 0.8629959583027326 0.4097680350327631 0.03570790388009346 0.18518111553093758
",train,1,set00,V002,0111
set00_V002_0112,"0 0.8648765650242327 0.40915847700409086 0.03634894991922479 0.18376637932515189
",train,1,set00,V002,0112
set00_V002_0113,"0 0.8658086877885428 0.41090142260842427 0.03912191919582569 0.19199292753490174
",train,1,set00,V002,0113
set00_V002_0114,"0 0.8668332058187357 0.41212830287439844 0.04106998595088012 0.19828984013165574
",train,1,set00,V002,0114
set00_V002_0115,"0 0.8679501191148117 0.41283911780201316 0.042193150184388455 0.20265711711541384
",train,1,set00,V002,0115
set00_V002_0116,"0 0.8691594276767699 0.4130338673912685 0.042491411896350334 0.2050947584861761
",train,1,set00,V002,0116
set00_V002_0117,"0 0.8704611315046112 0.4127125516421645 0.04196477108676593 0.20560276424394244
",train,1,set00,V002,0117
set00_V002_0118,"0 0.871855230598335 0.41187517055470113 0.04061322775563525 0.204181134388713
",train,1,set00,V002,0118
set00_V002_0119,"0 0.8726360070676957 0.4162960342249262 0.04103858145863253 0.21194192036218973
",train,1,set00,V002,0119
set00_V002_0120,"0 0.8734748108697808 0.4187745558207084 0.04112582432025356 0.21575006604586544
",train,1,set00,V002,0120
set00_V002_0121,"0 0.8743716420045896 0.4193107353420476 0.04087495634049781 0.21560557143974013
",train,1,set00,V002,0121
set00_V002_0122,"0 0.8753265004721226 0.41790457278894405 0.0402859775193658 0.2115084365438138
",train,1,set00,V002,0122
set00_V002_0123,"0 0.8783493724524303 0.41585315737876477 0.04337886021695905 0.2060528397928208
",train,1,set00,V002,0123
set00_V002_0124,"0 0.88100611700014 0.4145591725762428 0.04528532254253151 0.20204414811622742
",train,1,set00,V002,0124
set00_V002_0125,"0 0.8832967341152513 0.4140226183813784 0.046005364496082994 0.19948236151403376
",train,1,set00,V002,0125
set00_V002_0126,"0 0.8852212237977645 0.4142434947941715 0.04553898607761369 0.1983674799862398
",train,1,set00,V002,0126
set00_V002_0127,"0 0.8867795860476794 0.415221801814622 0.043886187287123415 0.19869950353284552
",train,1,set00,V002,0127
set00_V002_0128,"0 0.8879718208649958 0.41695753944273 0.04104696812461235 0.20047843215385092
",train,1,set00,V002,0128
set00_V002_0129,"0 0.8873337329469697 0.4181367437145598 0.04063375062209147 0.20545560949821334
",train,1,set00,V002,0129
set00_V002_0130,"0 0.8869717850632522 0.4176234536367494 0.04000886048832922 0.20648218965383436
",train,1,set00,V002,0130
set00_V004_0000,"0 0.9443276914957782 0.401001457579413 0.04221954161640529 0.15922798552472853
",train,1,set00,V004,0000
set00_V004_0001,"0 0.9443276914957782 0.401001457579413 0.04221954161640529 0.15922798552472853
",train,1,set00,V004,0001
set00_V004_0002,"0 0.9443276914957782 0.401001457579413 0.04221954161640529 0.15922798552472853
",train,1,set00,V004,0002
set00_V004_0003,"0 0.9474640003015683 0.4008406212303982 0.04221954161640529 0.15922798552472853
",train,1,set00,V004,0003
set00_V004_0004,"0 0.9506003091073585 0.4006797848813833 0.04221954161640529 0.15922798552472853
",train,1,set00,V004,0004
set00_V004_0005,"0 0.9537366179131486 0.4005189485323684 0.04221954161640529 0.15922798552472853
",train,1,set00,V004,0005
set00_V004_0006,"0 0.9568729267189386 0.40035811218335354 0.04221954161640529 0.15922798552472853
",train,1,set00,V004,0006
set00_V004_0007,"0 0.9600092355247288 0.4001972758343387 0.04221954161640529 0.15922798552472853
",train,1,set00,V004,0007
set00_V006_0000,"0 0.6676281913058476 0.4013122208805323 0.04803274682306942 0.17696318018898652
",train,1,set00,V006,0000
set00_V006_0001,"0 0.6676281913058476 0.4013122208805323 0.04803274682306942 0.17696318018898652
",train,1,set00,V006,0001
set00_V006_0002,"0 0.6676281913058476 0.4013122208805323 0.04803274682306942 0.17696318018898652
",train,1,set00,V006,0002
set00_V006_0003,"0 0.6654669845394167 0.40104427218101346 0.04846041055718473 0.1783479960899315
",train,1,set00,V006,0003
set00_V006_0004,"0 0.6633057777729858 0.4007763234814945 0.04888807429130004 0.1797328119908764
",train,1,set00,V006,0004
set00_V006_0005,"0 0.6611445710065548 0.4005083747819756 0.049315738025415445 0.18111762789182131
",train,1,set00,V006,0005
set00_V006_0006,"0 0.6589833642401239 0.4002404260824567 0.049743401759530764 0.1825024437927663
",train,1,set00,V006,0006
set00_V006_0007,"0 0.656822157473693 0.3999724773829378 0.050171065493646076 0.18388725969371122
",train,1,set00,V006,0007
set00_V006_0008,"0 0.654660950707262 0.3997045286834189 0.05059872922776148 0.1852720755946562
",train,1,set00,V006,0008
set00_V006_0009,"0 0.6524997439408312 0.3994365799839 0.05102639296187679 0.18665689149560105
",train,1,set00,V006,0009
set00_V006_0010,"0 0.6503385371744002 0.39916863128438107 0.0514540566959921 0.18804170739654602
",train,1,set00,V006,0010
set00_V006_0011,"0 0.6481773304079694 0.3989006825848621 0.051881720430107504 0.18942652329749093
",train,1,set00,V006,0011
set00_V006_0012,"0 0.6460161236415385 0.3986327338853432 0.052309384164222816 0.19081133919843593
",train,1,set00,V006,0012
set00_V006_0013,"0 0.6438549168751074 0.39836478518582424 0.052737047898338135 0.19219615509938084
",train,1,set00,V006,0013
set00_V006_0014,"0 0.6416937101086766 0.39809683648630545 0.05316471163245354 0.19358097100032576
",train,1,set00,V006,0014
set00_V006_0015,"0 0.6395325033422457 0.39782888778678654 0.05359237536656885 0.19496578690127073
",train,1,set00,V006,0015
set00_V006_0016,"0 0.6373712965758147 0.3975609390872676 0.05402003910068416 0.19635060280221564
",train,1,set00,V006,0016
set00_V006_0017,"0 0.6352100898093838 0.3972929903877487 0.05444770283479956 0.19773541870316055
",train,1,set00,V006,0017
set00_V006_0018,"0 0.6330488830429529 0.3970250416882298 0.054875366568914875 0.1991202346041055
",train,1,set00,V006,0018
set00_V006_0019,"0 0.630887676276522 0.3967570929887108 0.05530303030303019 0.2005050505050504
",train,1,set00,V006,0019
set00_V006_0020,"0 0.6287264695100911 0.39648914428919196 0.05573069403714559 0.20188986640599538
",train,1,set00,V006,0020
set00_V006_0021,"0 0.6265652627436601 0.39622119558967306 0.05615835777126091 0.2032746823069403
",train,1,set00,V006,0021
set00_V006_0022,"0 0.6244040559772293 0.3959532468901541 0.056586021505376255 0.20465949820788523
",train,1,set00,V006,0022
set00_V006_0023,"0 0.6224700033533651 0.3959461871442127 0.05705645161290312 0.20618279569892467
",train,1,set00,V006,0023
set00_V006_0024,"0 0.6204521798488778 0.3959367639528931 0.057526881720429926 0.20770609318996408
",train,1,set00,V006,0024
set00_V006_0025,"0 0.6183505854637673 0.39592497731619547 0.057997311827956824 0.20922939068100355
",train,1,set00,V006,0025
set00_V006_0026,"0 0.6161652201980338 0.3959108272341196 0.05846774193548363 0.21075268817204293
",train,1,set00,V006,0026
set00_V006_0027,"0 0.6138960840516771 0.39589431370666556 0.05893817204301053 0.21227598566308234
",train,1,set00,V006,0027
set00_V006_0028,"0 0.6115431770246973 0.39587543673383346 0.05940860215053734 0.21379928315412175
",train,1,set00,V006,0028
set00_V006_0029,"0 0.6091064991170944 0.3958541963156232 0.059879032258064235 0.21532258064516122
",train,1,set00,V006,0029
set00_V006_0030,"0 0.6065860503288683 0.39583059245203467 0.06034946236559113 0.2168458781362006
",train,1,set00,V006,0030
set00_V006_0031,"0 0.6039818306600191 0.39580462514306813 0.06081989247311795 0.21836917562724
",train,1,set00,V006,0031
set00_V006_0032,"0 0.6012938401105468 0.3957762943887233 0.061290322580644846 0.21989247311827942
",train,1,set00,V006,0032
set00_V006_0033,"0 0.5985220786804514 0.3957456001890005 0.061760752688171654 0.22141577060931888
0 0.6888842183105366 0.39539650537634435 0.0810446462984932 0.22903225806451602
",train,2,set00,V006,0033
set00_V006_0034,"0 0.5956665463697327 0.3957125425438994 0.06223118279569855 0.22293906810035835
0 0.6874882650352063 0.39539650537634435 0.07825273974783259 0.22903225806451602
",train,2,set00,V006,0034
set00_V006_0035,"0 0.5927272431783911 0.3956771214534202 0.06270161290322543 0.2244623655913977
0 0.6860923117598761 0.39539650537634435 0.07546083319717188 0.22903225806451602
",train,2,set00,V006,0035
set00_V006_0036,"0 0.5876309158140582 0.3954671505248312 0.06317204301075234 0.22598566308243714
0 0.6846963584845458 0.39539650537634435 0.07266892664651135 0.22903225806451602
",train,2,set00,V006,0036
set00_V006_0037,"0 0.5825345884497255 0.3952571795962424 0.06364247311827916 0.22750896057347655
0 0.6833004052092154 0.39539650537634435 0.06987702009585073 0.22903225806451602
",train,2,set00,V006,0037
set00_V006_0038,"0 0.5774382610853929 0.39504720866765347 0.06411290322580605 0.22903225806451602
0 0.6819044519338852 0.39539650537634435 0.06708511354519002 0.22903225806451602
",train,2,set00,V006,0038
set00_V006_0039,"0 0.5723419337210601 0.39483723773906454 0.06458333333333295 0.2305555555555554
0 0.6785940845476223 0.395589457950564 0.0681220352163944 0.23081250550184215
",train,2,set00,V006,0039
set00_V006_0040,"0 0.5672456063567273 0.39462726681047566 0.06505376344085977 0.23207885304659487
0 0.6752961506963796 0.39578241052478363 0.06913408981755857 0.23259275293916837
",train,2,set00,V006,0040
set00_V006_0041,"0 0.5621492789923946 0.3944172958818867 0.06552419354838666 0.23360215053763428
0 0.6720106503801571 0.3959753630990034 0.0701212773486823 0.23437300037649458
",train,2,set00,V006,0041
set00_V006_0042,"0 0.5570529516280619 0.3942073249532978 0.06599462365591356 0.2351254480286737
0 0.6687375835989547 0.39616831567322297 0.07108359780976574 0.23615324781382074
",train,2,set00,V006,0042
set00_V006_0043,"0 0.5519566242637292 0.3939973540247088 0.06646505376344036 0.23664874551971316
0 0.6654769503527727 0.39636126824744267 0.07202105120080882 0.23793349525114693
",train,2,set00,V006,0043
set00_V006_0044,"0 0.5468602968993964 0.39378738309611994 0.06693548387096726 0.23817204301075254
0 0.6622287506416106 0.3965542208216623 0.07293363752181152 0.2397137426884731
",train,2,set00,V006,0044
set00_V006_0045,"0 0.5417639695350637 0.393577412167531 0.06740591397849416 0.239695340501792
0 0.6589929844654687 0.39674717339588195 0.07382135677277413 0.2414939901257993
",train,2,set00,V006,0045
set00_V006_0046,"0 0.5378696197824565 0.3934455907941333 0.0675727069247599 0.24098934999012875
0 0.6558207093653139 0.3969401259701016 0.07478632403562946 0.24327423756312552
",train,2,set00,V006,0046
set00_V006_0047,"0 0.5339752700298493 0.3933137694207355 0.06773949987102564 0.24228335947846535
0 0.6526637597661229 0.39713307854432134 0.07573220816033227 0.2450544850004517
",train,2,set00,V006,0047
set00_V006_0048,"0 0.5300809202772422 0.3931819480473377 0.06790629281729137 0.24357736896680204
0 0.6488391554314092 0.39597282214921575 0.05331641608274822 0.24286400319758936
",train,2,set00,V006,0048
set00_V006_0049,"0 0.526186570524635 0.3930501266739399 0.06807308576355711 0.2448713784551387
0 0.6454555257751935 0.3958051695906783 0.05487248676780157 0.24350160326888853
",train,2,set00,V006,0049
set00_V006_0050,"0 0.5222922207720279 0.3929183053005421 0.06823987870982284 0.2461653879434754
0 0.6420718961189776 0.3956375170321408 0.056428557452855 0.2441392033401878
",train,2,set00,V006,0050
set00_V006_0051,"0 0.5183978710194207 0.3927864839271444 0.06840667165608859 0.24745939743181206
0 0.6386882664627619 0.3954698644736034 0.05798462813790835 0.24477680341148697
",train,2,set00,V006,0051
set00_V006_0052,"0 0.5145035212668138 0.39265466255374654 0.06857346460235432 0.24875340692014872
0 0.635304636806546 0.39530221191506587 0.059540698822961695 0.24541440348278615
",train,2,set00,V006,0052
set00_V006_0053,"0 0.5106091715142066 0.3925228411803488 0.06874025754862005 0.2500474164084854
0 0.6319210071503303 0.3951345593565284 0.06109676950801504 0.24605200355408538
",train,2,set00,V006,0053
set00_V006_0054,"0 0.5067148217615994 0.392391019806951 0.0689070504948858 0.25134142589682207
0 0.6285373774941144 0.3949669067979909 0.06265284019306838 0.24668960362538458
",train,2,set00,V006,0054
set00_V006_0055,"0 0.5028204720089923 0.3922591984335532 0.06907384344115153 0.25263543538515876
0 0.6251537478378988 0.39479925423945345 0.06420891087812174 0.24732720369668376
",train,2,set00,V006,0055
set00_V006_0056,"0 0.4989261222563851 0.3921273770601554 0.06924063638741727 0.2539294448734954
0 0.6217701181816829 0.394631601680916 0.06576498156317516 0.247964803767983
",train,2,set00,V006,0056
set00_V006_0057,"0 0.49503177250377794 0.39199555568675765 0.069407429333683 0.2552234543618321
0 0.6183864885254672 0.3944639491223786 0.06732105224822851 0.24860240383928217
",train,2,set00,V006,0057
set00_V006_0058,"0 0.4911374227511708 0.39186373431335986 0.06957422227994874 0.25651746385016877
0 0.6150028588692513 0.394296296563841 0.06887712293328185 0.24924000391058143
",train,2,set00,V006,0058
set00_V006_0059,"0 0.4872430729985636 0.391731912939962 0.06974101522621448 0.2578114733385054
0 0.6116192292130356 0.3941286440053036 0.07043319361833521 0.24987760398188055
",train,2,set00,V006,0059
set00_V006_0060,"0 0.4833487232459566 0.3916000915665643 0.06990780817248021 0.2591054828268421
0 0.6082355995568198 0.3939609914467661 0.07198926430338855 0.2505152040531798
",train,2,set00,V006,0060
set00_V006_0061,"0 0.47945437349334946 0.3914682701931665 0.07007460111874596 0.2603994923151788
0 0.604851969900604 0.39379333888822865 0.07354533498844189 0.25115280412447905
",train,2,set00,V006,0061
set00_V006_0062,"0 0.4755600237407423 0.39133644881976876 0.07024139406501169 0.26169350180351536
0 0.6014683402443882 0.39362568632969114 0.07510140567349524 0.25179040419577814
",train,2,set00,V006,0062
set00_V007_0000,"0 0.06521412056816173 0.407357528744482 0.049738219895288045 0.20923397238476557
0 0.03038051892116231 0.4214276739043024 0.03618817852834738 0.1994370727784479
0 0.017065930337756333 0.41258167470848417 0.019300361881785286 0.19461198230800156
",train,3,set00,V007,0000
set00_V007_0001,"0 0.06521412056816173 0.407357528744482 0.049738219895288045 0.20923397238476557
0 0.03038051892116231 0.4214276739043024 0.03618817852834738 0.1994370727784479
0 0.017065930337756333 0.41258167470848417 0.019300361881785286 0.19461198230800156
",train,3,set00,V007,0001
set00_V007_0002,"0 0.06521412056816173 0.407357528744482 0.049738219895288045 0.20923397238476557
0 0.03038051892116231 0.4214276739043024 0.03618817852834738 0.1994370727784479
0 0.017065930337756333 0.41258167470848417 0.019300361881785286 0.19461198230800156
",train,3,set00,V007,0002
set00_V007_0003,"0 0.06268860137940964 0.4070604035134996 0.04973821989528808 0.20656864349142817
0 0.02919704119839003 0.4214276739043024 0.036188178528347374 0.1994370727784479
",train,2,set00,V007,0003
set00_V007_0004,"0 0.05968938828381254 0.4069613617698388 0.049738219895288094 0.20568020052698235
0 0.02801356347561775 0.4214276739043024 0.036188178528347374 0.19943707277844794
",train,2,set00,V007,0004
set00_V007_0005,"0 0.05621648128137044 0.4070604035134996 0.04973821989528811 0.20656864349142817
",train,1,set00,V007,0005
set00_V007_0006,"0 0.05226988037208333 0.407357528744482 0.04973821989528811 0.20923397238476557
",train,1,set00,V007,0006
set00_V007_0007,"0 0.0478495855559512 0.40785273746278605 0.049738219895288094 0.21367618720699463
",train,1,set00,V007,0007
set00_V007_0008,"0 0.04295559683297408 0.4085460296684118 0.04973821989528808 0.21989528795811528
",train,1,set00,V007,0008
set00_V007_0009,"0 0.040153332041351755 0.40904123838671586 0.04973821989528806 0.22433750278034428
",train,1,set00,V007,0009
set00_V007_0010,"0 0.03735106724972944 0.4095364471050199 0.049738219895288045 0.22877971760257337
",train,1,set00,V007,0010
set00_V007_0011,"0 0.03454880245810712 0.41003165582332396 0.04973821989528804 0.2332219324248024
",train,1,set00,V007,0011
set00_V007_0012,"0 0.031746537666484796 0.410526864541628 0.04973821989528801 0.23766414724703147
",train,1,set00,V007,0012
set00_V007_0070,"0 0.7989985937234877 0.39426966469923064 0.0382912023789908 0.15719612199131436
",train,1,set00,V007,0070
set00_V007_0071,"0 0.801438885814357 0.39572383696251 0.038816677970206916 0.1596689283262829
",train,1,set00,V007,0071
set00_V007_0072,"0 0.8041750764434976 0.39733169242957195 0.03945882239729262 0.16219184953721175
",train,1,set00,V007,0072
set00_V007_0073,"0 0.8072071656109099 0.39909323110041645 0.04021763566024816 0.16476488562410083
",train,1,set00,V007,0073
set00_V007_0074,"0 0.8095843872256472 0.4044470448690749 0.03993966295044134 0.17501243064313102
",train,1,set00,V007,0074
set00_V007_0075,"0 0.8133020573733097 0.39772651559123634 0.042081195458171905 0.161067526685596
",train,1,set00,V007,0075
set00_V007_0076,"0 0.8147199024094711 0.4043510026022253 0.039361685894586974 0.17376889242214488
",train,1,set00,V007,0076
set00_V007_0077,"0 0.8174781959785578 0.39890114656671716 0.039061681548539263 0.1622778091821285
",train,1,set00,V007,0077
set00_V007_0078,"0 0.8212160691667633 0.3988744025505368 0.040067356819946914 0.16152354277183983
",train,1,set00,V007,0078
set00_V007_0079,"0 0.824953942354969 0.39884765853435644 0.04107303209135474 0.16076927636155117
",train,1,set00,V007,0079
set00_V007_0080,"0 0.8286918155431746 0.39882091451817603 0.04207870736276238 0.16001500995126255
",train,1,set00,V007,0080
set00_V007_0081,"0 0.8324296887313802 0.3987941705019956 0.043084382634170026 0.1592607435409739
",train,1,set00,V007,0081
set00_V007_0082,"0 0.8346205146432273 0.3978748174412157 0.04258942791963225 0.15865578498295552
",train,1,set00,V007,0082
set00_V007_0083,"0 0.8368787455526441 0.3964894461130961 0.04211173831404605 0.1571185039450644
",train,1,set00,V007,0083
set00_V007_0085,"0 0.8421086209787287 0.39687758550806046 0.042230551658814446 0.16036084813610904
",train,1,set00,V007,0085
set00_V007_0086,"0 0.8449873202927525 0.3978225622578311 0.0426411642038806 0.16348340541841838
",train,1,set00,V007,0086
set00_V007_0087,"0 0.8478404794017017 0.3974729867669489 0.04288315145261006 0.16401657227422858
",train,1,set00,V007,0087
set00_V007_0088,"0 0.8506680983055763 0.3958288590354139 0.04295651340500282 0.16196034870353965
",train,1,set00,V007,0088
set00_V007_0089,"0 0.8533245731377378 0.4030127228578619 0.042570042327782436 0.17755982229562348
",train,1,set00,V007,0089
set00_V007_0090,"0 0.8559971088695786 0.40301686322769076 0.04209814816373321 0.1787995630372757
",train,1,set00,V007,0090
set00_V007_0091,"0 0.8586857055010984 0.40482032767111137 0.04154083091285443 0.1836376659809178
",train,1,set00,V007,0091
set00_V007_0092,"0 0.8613903630322973 0.39944406866191273 0.04089809057514682 0.17411603607412834
",train,1,set00,V007,0092
set00_V007_0093,"0 0.8638855661841713 0.40014621840306847 0.0413600267592825 0.17675050880506404
",train,1,set00,V007,0093
set00_V007_0094,"0 0.8663807693360456 0.4008483681442242 0.041821962943418 0.1793849815359998
",train,1,set00,V007,0094
set00_V007_0095,"0 0.8688759724879198 0.40155051788537993 0.04228389912755351 0.1820194542669355
",train,1,set00,V007,0095
set00_V007_0096,"0 0.8713711756397938 0.3965983865279896 0.042745835311689184 0.1733453648007791
",train,1,set00,V007,0096
set00_V007_0097,"0 0.8749045498825574 0.3969837291938227 0.04298031636854756 0.1739594013707978
",train,1,set00,V007,0097
set00_V007_0098,"0 0.878437924125321 0.3973690718596557 0.04321479742540593 0.17457343794081634
",train,1,set00,V007,0098
set00_V007_0099,"0 0.8819712983680845 0.39775441452548876 0.0434492784822643 0.17518747451083502
",train,1,set00,V007,0099
set00_V007_0100,"0 0.8855046726108484 0.3981397571913219 0.04368375953912267 0.17580151108085365
",train,1,set00,V007,0100
set00_V007_0101,"0 0.8890380468536119 0.3985250998571549 0.04391824059598104 0.17641554765087233
",train,1,set00,V007,0101
set00_V007_0102,"0 0.8925714210963754 0.3989104425229879 0.04415272165283941 0.1770295842208909
",train,1,set00,V007,0102
set00_V007_0103,"0 0.896104795339139 0.39929578518882103 0.04438720270969779 0.1776436207909096
",train,1,set00,V007,0103
set00_V007_0104,"0 0.8999581022376653 0.39760065500298747 0.04404469757211196 0.17457184562138134
",train,1,set00,V007,0104
set00_V007_0105,"0 0.9038913923001326 0.3973696337563258 0.04355794588591522 0.1750338881147046
",train,1,set00,V007,0105
set00_V007_0106,"0 0.9079046655265407 0.3986027214488361 0.04292694765110738 0.1790297482708794
",train,1,set00,V007,0106
set00_V008_0096,"0 0.8247087675027797 0.39454975342368565 0.03301303720523272 0.1569251732538613
",train,1,set00,V008,0096
set00_V008_0097,"0 0.8253473691557449 0.39411278621520995 0.032470375595957 0.1581990717698419
",train,1,set00,V008,0097
set00_V008_0098,"0 0.8243694657808845 0.3937467801475235 0.03183400016218876 0.15848927262099052
",train,1,set00,V008,0098
set00_V008_0099,"0 0.821775057378199 0.3934517352206264 0.031103910903928167 0.1577957758073073
",train,1,set00,V008,0099
set00_V008_0101,"0 0.8207856826785229 0.39319970130228576 0.031263207896037495 0.1567325647936818
",train,1,set00,V008,0101
set00_V008_0102,"0 0.7833185675808324 0.3933964960934112 0.04511459589867322 0.15654737970781404
0 0.8240072214093574 0.39317175117005304 0.03224630797089994 0.15734654825857142
",train,2,set00,V008,0102
set00_V008_0103,"0 0.7866032028311931 0.3941688086875281 0.04595898673100134 0.15842380377965432
0 0.8272287601401921 0.3931438010378204 0.033229408045762375 0.15796053172346108
",train,2,set00,V008,0103
set00_V008_0104,"0 0.7899772988658674 0.39488148075876917 0.046803377563329376 0.1603002278514945
0 0.830450298871027 0.39311585090558776 0.03421250812062482 0.15857451518835078
",train,2,set00,V008,0104
set00_V008_0105,"0 0.7934408556848557 0.3955345123071344 0.0476477683956575 0.16217665192333475
0 0.8336718376018617 0.39308790077335504 0.03519560819548726 0.15918849865324045
",train,2,set00,V008,0105
set00_V008_0106,"0 0.7969938732881574 0.39612790333262377 0.04849215922798562 0.16405307599517496
0 0.8368933763326963 0.3930599506411224 0.036178708270349705 0.15980248211813006
",train,2,set00,V008,0106
set00_V008_0107,"0 0.8006363516757731 0.3966616538352373 0.04933655006031375 0.1659295000670152
0 0.840114915063531 0.39303200050888976 0.03716180834521215 0.16041646558301975
",train,2,set00,V008,0107
set00_V008_0108,"0 0.8043682908477024 0.3971357638149751 0.05018094089264178 0.16780592413885548
0 0.843336453794366 0.3930040503766571 0.03814490842007459 0.16103044904790947
",train,2,set00,V008,0108
set00_V008_0109,"0 0.8081896908039454 0.3975502332718371 0.051025331724969994 0.16968234821069572
0 0.8465579925252005 0.3929761002444244 0.03912800849493703 0.1616444325127991
",train,2,set00,V008,0109
set00_V008_0110,"0 0.8121005515445021 0.3979050622058232 0.05186972255729803 0.1715587722825359
0 0.8497795312560353 0.39294815011219175 0.04011110856979947 0.16225841597768878
",train,2,set00,V008,0110
set00_V008_0111,"0 0.8161008730693725 0.3982002506169335 0.05271411338962606 0.1734351963543761
0 0.8530010699868701 0.3929201999799591 0.041094208644661914 0.16287239944257845
",train,2,set00,V008,0111
